trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
817,False,"{'a': 0.5, 'e': 0.28532073650668227}",20,13,13.015925491397097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.5, 'e': 0.2848830889855759}",25,5,-49.400265176355525,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
819,False,"{'a': 0.5, 'e': 0.2844461127628653}",20,5,9.248629466925077,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.5, 'e': 0.28400980680886007}",25,8,-27.45073069013112,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
821,False,"{'a': 0.5, 'e': 0.2835741700954489}",20,9,20.70273876944418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.5, 'e': 0.2831392015960977}",20,16,7.460534721776929,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.2827049002858468}",20,12,17.576535662037344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.28227126514130885}",30,13,-32.05354450267043,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
825,False,"{'a': 0.5, 'e': 0.2818382951406662}",30,15,27.155133323513656,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.5, 'e': 0.2814059892636684}",25,3,-83.31517745407767,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",1
827,False,"{'a': 0.5, 'e': 0.2809743464916301}",30,4,-24.53475530735338,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 0}",1
828,False,"{'a': 0.5, 'e': 0.28054336580742845}",20,13,6.515617099051376,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.2801130461955007}",20,2,19.21013993351238,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
